iter	Logloss
0	0.6844536914
1	0.6753151527
2	0.6663942849
3	0.6577012578
4	0.6485690128
5	0.6402699156
6	0.6317356997
7	0.6238100316
8	0.6162162873
9	0.6096450547
10	0.6021302497
11	0.5955119374
12	0.5875870931
13	0.5811731373
14	0.5740037029
15	0.5665314671
16	0.5602398532
17	0.5536667054
18	0.5466984103
19	0.5402240522
20	0.5348347874
21	0.5277732769
22	0.5225844247
23	0.5161851792
24	0.511606392
25	0.5045281408
26	0.5005439827
27	0.4951454055
28	0.489130588
29	0.4845351757
30	0.4801268057
31	0.4751946332
32	0.4702047348
33	0.4651602596
34	0.4600271194
35	0.4557199451
36	0.4514564171
37	0.4476277474
38	0.4428172432
39	0.4396077504
40	0.4361821
41	0.433141935
42	0.4285946008
43	0.4257632098
44	0.4215994199
45	0.4172087528
46	0.413437703
47	0.4096240291
48	0.4059932907
49	0.4019140171
50	0.3985761481
51	0.3952527416
52	0.3922866516
53	0.3897163251
54	0.3866919312
55	0.3829483938
56	0.3807601251
57	0.3768447906
58	0.3751273378
59	0.3734489113
60	0.3704325433
61	0.3672191848
62	0.3641885582
63	0.3611352421
64	0.3588564225
65	0.3567905453
66	0.3540421819
67	0.3523963983
68	0.3498539267
69	0.3484765078
70	0.3457606484
71	0.3433849584
72	0.3407352051
73	0.3384262994
74	0.336259309
75	0.3337783259
76	0.3310730798
77	0.3296110936
78	0.3272386574
79	0.3250336979
80	0.3233187336
81	0.3210900107
82	0.318652678
83	0.3172771052
84	0.315556966
85	0.3134450604
86	0.3116294557
87	0.3098720912
88	0.3081408964
89	0.3064160821
90	0.3051723033
91	0.3032862781
92	0.3017773131
93	0.3004399312
94	0.2984337141
95	0.2968179547
96	0.2955192596
97	0.2935806303
98	0.2923911659
99	0.2904468439
100	0.2887622576
101	0.2871601774
102	0.2855910716
103	0.284328732
104	0.282824363
105	0.2818243136
106	0.2802031347
107	0.2785486837
108	0.2768677486
109	0.2756195219
110	0.2738644937
111	0.2726767039
112	0.2710815553
113	0.2698901449
114	0.2677443808
115	0.2661506049
116	0.2652235099
117	0.2637427267
118	0.2624441176
119	0.2610933552
120	0.2602904844
121	0.2590058644
122	0.2578189914
123	0.2563268906
124	0.2551844405
125	0.2537343616
126	0.2523148559
127	0.2511812306
128	0.2499231985
129	0.2485636026
130	0.2473644846
131	0.2463588845
132	0.2459853888
133	0.2446891687
134	0.2432640468
135	0.2419344223
136	0.2409256596
137	0.2396864798
138	0.2383340629
139	0.2372834279
140	0.2359599061
141	0.2345925435
142	0.2334663023
143	0.2320350315
144	0.2311644957
145	0.2304109445
146	0.22960314
147	0.2288184913
148	0.2280602907
149	0.2273407689
150	0.2265241152
151	0.2255786875
152	0.2242833728
153	0.2230779036
154	0.2223192068
155	0.2214004207
156	0.2204054074
157	0.2195403437
158	0.2184687359
159	0.2179494172
160	0.2173566409
161	0.2165586206
162	0.2160816658
163	0.2149532641
164	0.2138023256
165	0.2132374774
166	0.2127575068
167	0.2120908751
168	0.2112902645
169	0.2106835886
170	0.2100763469
171	0.2091394882
172	0.208308674
173	0.2075528599
174	0.2069255606
175	0.2061706037
176	0.2057334985
177	0.2050329889
178	0.2044686285
179	0.2037830586
180	0.2027488276
181	0.2020565625
182	0.2014610345
183	0.2001000393
184	0.1992870285
185	0.1986851517
186	0.198648734
187	0.1975577619
188	0.1970407967
189	0.1966002041
190	0.1960495202
191	0.1951466058
192	0.194692372
193	0.1942432606
194	0.1937613774
195	0.19317936
196	0.1922673923
197	0.1919606668
198	0.1915704403
199	0.1910693977
200	0.1904569554
201	0.1901023173
202	0.1895123566
203	0.1889684864
204	0.1884773609
205	0.187619283
206	0.1868421858
207	0.1858783941
208	0.1852894762
209	0.1850171597
210	0.1844947178
211	0.1838934211
212	0.183321479
213	0.1827713299
214	0.1824033106
215	0.182091211
216	0.1817617298
217	0.1813762916
218	0.1805885996
219	0.1798126762
220	0.1792592613
221	0.1787544667
222	0.1782807117
223	0.177664829
224	0.1769100168
225	0.1765083218
226	0.1759810779
227	0.1754555469
228	0.1753945382
229	0.1749493948
230	0.1743825059
231	0.1739549866
232	0.1734377089
233	0.1732100374
234	0.1729248922
235	0.1726510878
236	0.1719568385
237	0.1716861484
238	0.1711350611
239	0.1707965099
240	0.1704194244
241	0.1697729739
242	0.1692177574
243	0.1687513616
244	0.1681218164
245	0.1676567793
246	0.1673246024
247	0.1669010381
248	0.1662226007
249	0.1658713678
250	0.1654581561
251	0.1654103905
252	0.1651292348
253	0.164618367
254	0.164046789
255	0.1638093613
256	0.1635970093
257	0.1630031959
258	0.1628079984
259	0.1623622311
260	0.1618862244
261	0.1614152484
262	0.1610884874
263	0.1606367862
264	0.1601941899
265	0.1597675169
266	0.1590280019
267	0.1587299957
268	0.1582462991
269	0.1580072363
270	0.1576811138
271	0.1573380501
272	0.1570478062
273	0.1567922554
274	0.1563721045
275	0.1558508546
276	0.1554775673
277	0.1552589364
278	0.1550053472
279	0.1547115368
280	0.154508183
281	0.1542591869
282	0.154014458
283	0.1537680463
284	0.1533054637
285	0.1528282913
286	0.1527184921
287	0.1522226257
288	0.1517541715
289	0.1514505931
290	0.1511232756
291	0.1504552021
292	0.1502006331
293	0.1497940267
294	0.1493390674
295	0.1489052301
296	0.1486724481
297	0.1483871095
298	0.1479899311
299	0.1476387708
300	0.1472731398
301	0.1467635032
302	0.1461381246
303	0.1458174589
304	0.1455068761
305	0.1449049254
306	0.1444627648
307	0.1443565689
308	0.1441477335
309	0.1438069274
310	0.143681147
311	0.14335155
312	0.1431799355
313	0.1429081371
314	0.1425909561
315	0.1420654053
316	0.1414218366
317	0.1411050399
318	0.1408512782
319	0.1405668161
320	0.1402870119
321	0.1397580841
322	0.1394339074
323	0.1393942707
324	0.1391592188
325	0.1387869485
326	0.1384573942
327	0.1379585267
328	0.1375235217
329	0.1372569502
330	0.1368454927
331	0.1366210095
332	0.1362242137
333	0.1358984396
334	0.1357189898
335	0.1356588111
336	0.1356452934
337	0.1353130826
338	0.1349886787
339	0.1345821988
340	0.1343999992
341	0.1342302209
342	0.133795849
343	0.1334550275
344	0.1332413853
345	0.1330632904
346	0.1326151795
347	0.132286026
348	0.1319356652
349	0.1317582017
350	0.1313071938
351	0.1311305594
352	0.1306615467
353	0.1302244257
354	0.1299502124
355	0.1296928281
356	0.1291981198
357	0.1290073886
358	0.1286112847
359	0.1286026662
360	0.1282457612
361	0.1281578116
362	0.1280467485
363	0.1276149841
364	0.1274251174
365	0.1273194332
366	0.1270874215
367	0.1267662836
368	0.1263166331
369	0.1260623953
370	0.1258142726
371	0.1255524143
372	0.1252646765
373	0.1252114668
374	0.125057486
375	0.1248754823
376	0.1247259809
377	0.1242742275
378	0.1238647041
379	0.1238104639
380	0.1235080541
381	0.1232549184
382	0.1229936082
383	0.1229032813
384	0.1224658925
385	0.1223329806
386	0.1221817302
387	0.1219806324
388	0.1217420451
389	0.1214779273
390	0.1211843612
391	0.1210305533
392	0.1207968276
393	0.1204607767
394	0.120216414
395	0.1200791623
396	0.11986781
397	0.1196317941
398	0.1195159252
399	0.1190800448
400	0.1188020111
401	0.1184464024
402	0.1180600023
403	0.1177018851
404	0.1174406501
405	0.1172408154
406	0.1170270109
407	0.1168320669
408	0.1165289976
409	0.1164127804
410	0.1161096637
411	0.1157655918
412	0.1156319436
413	0.1153635222
414	0.115048311
415	0.1148686675
416	0.1147054826
417	0.114483338
418	0.1143001919
419	0.1141419824
420	0.1140179088
421	0.1137429061
422	0.1135776221
423	0.1134056309
424	0.1133380868
425	0.113159865
426	0.1128750783
427	0.1125306423
428	0.1122749825
429	0.1122105334
430	0.1117814905
431	0.1116715831
432	0.1114686177
433	0.1112615536
434	0.111100285
435	0.1109580067
436	0.1106071276
437	0.1103299342
438	0.1101653221
439	0.1098981825
440	0.1094102864
441	0.109394892
442	0.1092000589
443	0.1089693702
444	0.1088747367
445	0.1086485468
446	0.108515321
447	0.1081610745
448	0.1080893883
449	0.1078714116
450	0.1078659656
451	0.1076445843
452	0.1074992349
453	0.1074185374
454	0.1072229643
455	0.1070738047
456	0.1067739629
457	0.1066180941
458	0.1062523208
459	0.1061370238
460	0.1060010481
461	0.1057143383
462	0.1056387906
463	0.1053721238
464	0.1052951853
465	0.1052338399
466	0.1051162132
467	0.1049825683
468	0.1047071424
469	0.1043619119
470	0.1042152706
471	0.1040348598
472	0.1038567902
473	0.1035904897
474	0.1033368936
475	0.1031410303
476	0.1031114203
477	0.1030162977
478	0.1028539556
479	0.1024482048
480	0.102296128
481	0.1021866858
482	0.1020740804
483	0.1018656685
484	0.101755296
485	0.1014527617
486	0.1013557953
487	0.1011365865
488	0.1010268294
489	0.1008587919
490	0.1006165849
491	0.100521929
492	0.1002773566
493	0.1000004118
494	0.09992849422
495	0.09981612529
496	0.09957551345
497	0.09947058864
498	0.09931481581
499	0.09910973757
500	0.09885013762
501	0.09846748792
502	0.09844045879
503	0.09829256574
504	0.09812688476
505	0.09796742636
506	0.09784863488
507	0.09762970773
508	0.09744379652
509	0.09730233751
510	0.09699449242
511	0.09692410742
512	0.09672809809
513	0.09648245563
514	0.09636205354
515	0.09606290283
516	0.09587896718
517	0.09580198651
518	0.09558009147
519	0.09539327474
520	0.09519773408
521	0.09484360393
522	0.09461108949
523	0.09433853842
524	0.09415137134
525	0.09391781328
526	0.09387098943
527	0.09367553811
528	0.09343285069
529	0.09324169491
530	0.0931321215
531	0.0928764208
532	0.09270383264
533	0.09238773424
534	0.09221718387
535	0.0920414904
536	0.09196885859
537	0.09177342745
538	0.09151595345
539	0.09137421325
540	0.09121542286
541	0.09101711729
542	0.09079758796
543	0.09055086925
544	0.09027603705
545	0.09009635367
546	0.08977925989
547	0.08966540727
548	0.08960461344
549	0.08946229422
550	0.08913388466
551	0.0889373575
552	0.08880902858
553	0.08867957057
554	0.08852791186
555	0.08836926445
556	0.08820997241
557	0.08800356184
558	0.08782685817
559	0.08769475339
560	0.08755926233
561	0.08734134997
562	0.08711396812
563	0.08694394556
564	0.08681753118
565	0.08679502656
566	0.08667138518
567	0.08663805378
568	0.08660697193
569	0.08640131186
570	0.08634746549
571	0.08628644629
572	0.08612850874
573	0.0860320238
574	0.0858526881
575	0.08572307433
576	0.08547874934
577	0.0853621936
578	0.08522244062
579	0.08497476524
580	0.08480131954
581	0.08471323755
